Sample,Date,Estuary,Area,Station,Layer_depth,Season,Chlorophy_microg_L,Cond_microsiemens_cm,Depth_m,DO_percent_sat,DO_mg_L,Sal_psu,Sp_cond_microsiemens_cm,Turbidity_fnu,Temp_C,latitude,longitude,DIC_micromol_kg,TA_micromol_kg,TA-DIC,DO_micromol_kg,oxygen_utilization_micromol_kg,pH,saturation_aragonite,pCO2_atm,k_aragonite,total_calcium,carbonate
CDL01F,9/2/2021,Candelaria,River,CDL01,Bottom,Dry,3.8,1422.8,1.902,95.1,7.7,0.7,1399.3,259.85,25.878,18.55912,-91.25026,4324,4307,-17,241.19657065611014,18.319188911154214,8.025034153323407,0.568607453862211,2077.0586176803654,1.7809185607531953e-08,205.69139401699448,49.231207421452055
CDL02F,9/2/2021,Candelaria,River,CDL02,Bottom,Dry,2.82,1708.4,3.057,95.9,7.65,0.83,1654.4,10.73,26.709,18.6099,-91.24606,4295,4286,-9,239.65639610998062,15.915973810523212,8.03519975384731,0.6636229785270142,2026.3067514054628,1.967198780457559e-08,243.8912243344363,53.52707206274121
CDL02S,9/2/2021,Candelaria,River,CDL02,Surface,Dry,1.97,1724.6,0.116,105.4,8.25,0.82,1639.8,4.37,27.708,18.6099,-91.246,4283,4265,-18,258.52079833907897,-7.260530071174742,8.004036853743287,0.6098192581379719,2240.313209898331,1.952912867071194e-08,240.9527758484792,49.42561344694181
CDL01S,9/2/2021,Candelaria,River,CDL01,Surface,Dry,2.74,1456.9,0.18,101.0,8.03,0.7,1405.8,6.86,26.911,18.55908,-91.25029,4278,4295,17,251.59799080643816,3.3206556430057503,8.149846643059142,0.7499778507610196,1597.5895638726906,1.7809185607531953e-08,205.69139401699448,64.93463088026604
CDL01S,5/3/2020,Candelaria,River,CDL01,Surface,Dry,0.36,7015.4,0.464,93.9,7.12,3.56,6547.7,1.47,28.74,18.55736,-91.25012,3915,3863,-52,222.7222130456565,19.534895465263702,7.68702890106395,0.7996807783058266,3398.736671095621,6.026590888747241e-08,1046.0876610007147,46.07022023215418
CDL02S,5/3/2020,Candelaria,River,CDL02,Surface,Dry,0.92,16691.1,0.453,95.9,6.99,8.94,15429.1,5.5,29.283,18.61007,-91.2441,3724,3708,-16,217.83153246243913,13.456578370375524,7.615127383484735,1.164664615633857,3186.992383860694,1.5097529764601078e-07,2626.972946445615,66.9346775120048
CDL01F,5/3/2020,Candelaria,River,CDL01,Bottom,Dry,4.19,29886.1,7.792,70.1,4.9,16.97,27751.2,95.33,29.028,18.55722,-91.2499,3698,3685,-13,151.8021436786478,67.88563618227604,7.492127177544811,1.2491981316408973,3620.3698158505445,2.94718770594804e-07,4986.547080669137,73.83107621980544
CDL02F,5/3/2020,Candelaria,River,CDL02,Bottom,Dry,2.23,24847.4,1.261,91.5,6.52,13.87,23074.0,13.44,29.024,18.61005,-91.24403,3667,3992,325,202.44359482271085,22.028664823417046,8.184386512492082,5.219998538161592,749.4432523421608,2.3886343421726864e-07,4075.6280500224475,305.93242615148176
PLZ02S,10/2/2021,Palizada,River,PLZ02,Surface,Dry,2.83,668.3,0.278,88.7,7.12,0.31,649.3,42.18,26.532,18.45168,-91.80981,3636,3512,-124,223.12920825771403,34.163806963950435,7.672797792890634,0.1052808940450414,4263.956889701283,1.200890078971847e-08,91.09190306466898,13.879475223414671
PLZ03S,10/2/2021,Palizada,River,PLZ03,Surface,Dry,2.55,13.8,0.109,111.4,9.12,0.0,13.7,2.51,25.542,18.48526,-91.79574,3602,3495,-107,285.80311623882534,-23.465323413730516,7.818949361442605,0.0,3538.746108130198,4.968667925883005e-09,0.0,10.713373300404182
PLZ01S,10/2/2021,Palizada,River,PLZ01,Surface,Dry,2.49,664.2,0.321,87.7,7.1,0.32,651.8,39.94,25.998,18.42503,-91.83982,3592,3507,-85,222.4715482620637,37.1970738477124,7.793096848263898,0.14217248241077088,3166.1501243082266,1.2166470108903832e-08,94.03035155062605,18.395520478597888
PLZ01F,10/2/2021,Palizada,River,PLZ01,Bottom,Dry,3.03,664.5,5.234,85.9,6.95,0.32,651.6,64.57,26.04,18.42503,-91.83986,3578,3499,-79,217.77367599846892,41.70521209699203,7.813704816848287,0.1486634685469738,3014.992539176262,1.2166470108903832e-08,94.03035155062605,19.235381092762484
PLZ02F,10/2/2021,Palizada,River,PLZ02,Bottom,Dry,3.71,682.6,0.756,7.0,0.57,0.32,666.9,135.37,26.233,18.45178,-91.80981,3500,3451,-49,17.861419220323917,240.7488255048906,7.928336790289844,0.19026434085686939,2291.371416248863,1.2166470108903832e-08,94.03035155062605,24.61806616323322
PLZ04F,10/2/2021,Palizada,Estuarine,PLZ04,Bottom,Dry,6.05,1100.0,0.546,97.7,7.79,0.52,1063.9,49.1,26.78,18.50698,-91.79117,3456,3453,-3,244.10286970221733,11.713937022121854,8.101709619145545,0.42455569087275374,1483.5388613510156,1.5193310301925356e-08,152.79932126976735,42.21488877224689
PLZ04S,10/2/2021,Palizada,Estuarine,PLZ04,Surface,Dry,4.39,751.5,0.107,105.0,8.34,0.35,723.4,45.21,27.038,18.507,-91.79115,3435,3483,48,261.38738694136146,-6.397782559129865,8.379819857883948,0.5708514222092732,817.7167704173896,1.2634444990980047e-08,102.84569700849724,70.12827081457664
PLZ02S,4/3/2020,Palizada,River,PLZ02,Surface,Dry,5.76,1023.2,0.318,92.6,7.33,0.48,981.6,27.05,27.221,18.45095,-91.81013,3407,3221,-186,229.72102250886297,24.238457907897413,7.468540718446543,0.0878800099855916,6129.087293527948,1.4601854323155084e-08,141.04552732593905,9.097850375373321
PLZ03F,10/2/2021,Palizada,River,PLZ03,Bottom,Dry,4.45,659.3,1.056,107.7,8.61,0.31,638.0,48.12,26.743,18.48525,-91.79573,3405,3469,64,269.83757704282533,-13.479467963875322,8.462340248836208,0.6147928319123402,669.8455441729697,1.200890078971847e-08,91.09190306466898,81.04986147258275
PLZ01F,4/3/2020,Palizada,River,PLZ01,Bottom,Dry,8.07,698.4,5.435,94.6,7.57,0.33,676.4,26.32,26.709,18.42403,-91.83997,3338,3216,-122,237.23840527465268,19.233847952948338,7.6444022755821495,0.09536342936461005,4167.024898233723,1.2323219103030099e-08,96.96880003658312,12.119201578580594
PLZ01S,4/3/2020,Palizada,River,PLZ01,Surface,Dry,6.39,698.9,0.533,95.9,7.66,0.33,676.2,23.56,26.757,18.42404,-91.84,3315,3195,-120,240.06182400425536,16.198419177775406,7.647942335587239,0.09550994350660151,4111.399257328867,1.2323219103030099e-08,96.96880003658312,12.13782123637539
PLZ02F,4/3/2020,Palizada,River,PLZ02,Bottom,Dry,7.28,1154.4,0.624,90.2,7.17,0.55,1111.6,48.55,27.016,18.45096,-91.81015,3222,3223,1,224.68326320329743,30.044498432781864,8.114585685223675,0.42721863848757974,1345.5069661244536,1.5633880114066586e-08,161.61466672763854,41.32722055397061
PLZ03S,4/3/2020,Palizada,River,PLZ03,Surface,Dry,2.57,4599.4,0.349,91.1,7.18,2.36,4440.7,26.52,26.871,18.4866,-91.79567,3180,3105,-75,224.68671309915987,27.45402713543163,7.62750861488176,0.42234900915933443,3222.181969849195,4.184992156849019e-08,693.4738426858671,25.48801673526757
PLZ03F,4/3/2020,Palizada,River,PLZ03,Bottom,Dry,2.92,4638.7,5.256,89.8,7.08,2.38,4481.7,27.52,26.835,18.4866,-91.79569,3162,3090,-72,221.55206220897378,30.709025604376677,7.635279267592508,0.4303494673996457,3140.985192373028,4.2148992881562814e-08,699.3507396577811,25.936623226977666
PLZ04S,4/3/2020,Palizada,Estuarine,PLZ04,Surface,Dry,2.62,14471.7,0.418,101.1,7.6,7.9,13733.7,9.68,27.813,18.49965,-91.78983,3048,3002,-46,236.92329045622606,1.7999522328208855,7.529730214563949,0.7248544473905268,3095.51411583341,1.3277491266234228e-07,2321.3743039060805,41.45927082213512
PLZ04F,4/3/2020,Palizada,Estuarine,PLZ04,Bottom,Dry,30.88,35722.5,1.306,97.0,6.93,21.94,34933.6,336.87,26.182,18.49963,-91.78983,3007,3060,53,213.7424070061766,8.693414258521955,7.602283184830684,1.495345526884525,1991.8411997755125,3.853133559087635e-07,6446.955978189799,89.37188421268165
CDL02F,26/11/2020,Candelaria,River,CDL02,Bottom,Rainy,2.31,778.6,1.827,66.8,5.34,0.37,752.9,3.63,26.787,18.60986,-91.24459,2973,2865,-108,167.35007896789142,88.70578284728873,7.640954081090092,0.09298634846228988,3711.2505461073615,1.2942921755988552e-08,108.72259398041138,11.06959453836562
CDL02S,26/11/2020,Candelaria,River,CDL02,Surface,Rainy,2.31,777.7,0.556,67.5,5.39,0.36,751.9,3.29,26.801,18.60981,-91.24462,2965,2860,-105,168.91887764735483,87.09328736262748,7.651611637872383,0.09290656574325452,3625.1182946256854,1.2789007537273679e-08,105.78414549445431,11.232144136523605
CDL01F,26/11/2020,Candelaria,River,CDL01,Bottom,Rainy,2.49,763.6,3.302,66.1,5.3,0.36,740.7,2.72,26.618,18.55674,-91.25021,2965,2841,-124,166.09073986237144,90.73010245676409,7.589121482516665,0.08000796778043708,4140.432623517699,1.2789007537273679e-08,105.78414549445431,9.672739692732135
CDL01S,26/11/2020,Candelaria,River,CDL01,Surface,Rainy,2.52,760.1,0.558,67.8,5.43,0.36,736.7,2.37,26.67,18.55681,-91.25012,2958,2847,-111,170.16687109580025,86.42371293766209,7.630257816168517,0.08808107641477092,3777.90991918662,1.2789007537273679e-08,105.78414549445431,10.648755963328538
CDL03S,5/3/2020,Candelaria,River,CDL03,Surface,Dry,0.58,46341.6,0.465,93.4,6.24,28.06,43670.8,3.6,28.202,18.63166,-91.29359,2928,3023,95,191.72537388593423,14.441562307965569,7.6426926856984405,1.8074084511130442,1820.0616490649948,5.016477191891215e-07,8245.28645159552,109.96371471952341
PLZ01F,25/11/2020,Palizada,River,PLZ01,Bottom,Rainy,2.43,380.6,6.903,32.1,2.56,0.17,367.9,77.25,26.799,18.42429,-91.83987,2853,2599,-254,80.23994332585588,176.123439487213,7.294153299627934,0.019268100570262115,7975.63945283968,9.675708943949732e-09,49.95362426127009,3.7321122496641834
PLZ02F,25/11/2020,Palizada,River,PLZ02,Bottom,Rainy,2.74,402.4,1.736,36.5,2.92,0.19,389.4,20.1,26.75,18.45371,-91.80848,2841,2626,-215,91.52119942619717,165.02250948518403,7.36459599670362,0.0252771275207961,6789.541958222828,1.0029001135982825e-08,55.83052123318421,4.540604941903541
PLZ01S,25/11/2020,Palizada,River,PLZ01,Surface,Rainy,2.31,381.1,0.307,33.8,2.7,0.17,368.4,28.44,26.811,18.42431,-91.83989,2840,2581,-259,84.6283196355518,171.6821077503713,7.283039750534906,0.018652613097777458,8128.726370082759,9.675708943949732e-09,49.95362426127009,3.6128961220963185
CDL04S,9/2/2021,Candelaria,Estuarine,CDL04,Surface,Dry,1.65,32803.3,0.138,119.8,8.47,19.34,31199.8,1.4,27.691,18.677,-91.34597,2830,3035,205,261.84766719845385,-40.9561840760982,7.9912295386720915,3.141659096287983,812.7375150921209,3.3768793406390855e-07,5682.9593718409615,186.68097030841568
PLZ05F,4/3/2020,Palizada,Estuarine,PLZ05,Bottom,Dry,10.74,44668.5,3.019,97.5,6.78,28.5,44191.6,130.28,25.565,18.53635,-91.79074,2817,2814,-3,208.08609418259792,6.559656027040006,7.389056665321325,0.9812764222712409,2856.522319604203,5.103663282825301e-07,8374.578184977632,59.80127399886808
PLZ02S,25/11/2020,Palizada,River,PLZ02,Surface,Rainy,2.73,403.7,0.611,37.1,2.96,0.19,389.7,18.99,26.885,18.45358,-91.80859,2814,2619,-195,92.77805398866548,163.17023865875953,7.403749700780916,0.027578769446447497,6208.1251064554945,1.0029001135982825e-08,55.83052123318421,4.954055667010932
